Negara,Gender,AHH,Tahun
Indonesia,Laki-Laki,"67,2",2010
Indonesia,Laki-Laki,"67,5",2011
Indonesia,Laki-Laki,"67,8",2012
Indonesia,Laki-Laki,"68,1",2013
Indonesia,Laki-Laki,"68,4",2014
Indonesia,Laki-Laki,"68,7",2015
Indonesia,Laki-Laki,"68,9",2016
Indonesia,Laki-Laki,"69,2",2017
Indonesia,Laki-Laki,"69,4",2018
Indonesia,Laki-Laki,"69,6",2019
Indonesia,Laki-Laki,"69,8",2020
Indonesia,Laki-Laki,"69,9",2021
Indonesia,Perempuan,"71,3",2010
Indonesia,Perempuan,"71,7",2011
Indonesia,Perempuan,72,2012
Indonesia,Perempuan,"72,4",2013
Indonesia,Perempuan,"72,7",2014
Indonesia,Perempuan,73,2015
Indonesia,Perempuan,"73,3",2016
Indonesia,Perempuan,"73,5",2017
Indonesia,Perempuan,"73,7",2018
Indonesia,Perempuan,74,2019
Indonesia,Perempuan,"74,2",2020
Indonesia,Perempuan,"74,4",2021
Malaysia,Laki-Laki,"72,5",2010
Malaysia,Laki-Laki,"72,7",2011
Malaysia,Laki-Laki,"72,9",2012
Malaysia,Laki-Laki,"73,1",2013
Malaysia,Laki-Laki,"73,3",2014
Malaysia,Laki-Laki,"73,5",2015
Malaysia,Laki-Laki,"73,7",2016
Malaysia,Laki-Laki,"73,9",2017
Malaysia,Laki-Laki,"74,1",2018
Malaysia,Laki-Laki,"74,2",2019
Malaysia,Laki-Laki,"74,4",2020
Malaysia,Laki-Laki,"74,5",2021
Malaysia,Perempuan,"76,7",2010
Malaysia,Perempuan,"76,9",2011
Malaysia,Perempuan,"77,1",2012
Malaysia,Perempuan,"77,3",2013
Malaysia,Perempuan,"77,5",2014
Malaysia,Perempuan,"77,7",2015
Malaysia,Perempuan,"77,8",2016
Malaysia,Perempuan,78,2017
Malaysia,Perempuan,"78,2",2018
Malaysia,Perempuan,"78,3",2019
Malaysia,Perempuan,"78,5",2020
Malaysia,Perempuan,"78,6",2021
Singapura,Laki-Laki,"79,5",2010
Singapura,Laki-Laki,"79,7",2011
Singapura,Laki-Laki,80,2012
Singapura,Laki-Laki,"80,2",2013
Singapura,Laki-Laki,"80,5",2014
Singapura,Laki-Laki,"80,7",2015
Singapura,Laki-Laki,"80,9",2016
Singapura,Laki-Laki,"81,1",2017
Singapura,Laki-Laki,"81,3",2018
Singapura,Laki-Laki,"81,5",2019
Singapura,Laki-Laki,"81,7",2020
Singapura,Laki-Laki,"81,9",2021
Singapura,Perempuan,"84,2",2010
Singapura,Perempuan,"84,3",2011
Singapura,Perempuan,"84,5",2012
Singapura,Perempuan,"84,7",2013
Singapura,Perempuan,"84,9",2014
Singapura,Perempuan,85,2015
Singapura,Perempuan,"85,2",2016
Singapura,Perempuan,"85,4",2017
Singapura,Perempuan,"85,6",2018
Singapura,Perempuan,"85,7",2019
Singapura,Perempuan,"85,9",2020
