Date,Time,Place
1/3/2022,0:00:00,Utan Kayu Selatan
1/3/2022,1:00:00,Utan Kayu Selatan
1/3/2022,2:00:00,Utan Kayu Selatan
1/3/2022,3:00:00,Utan Kayu Selatan
1/3/2022,4:00:00,Utan Kayu Selatan
1/3/2022,5:00:00,Utan Kayu Selatan
1/3/2022,6:00:00,Utan Kayu Selatan
1/3/2022,7:00:00,Utan Kayu Selatan
1/3/2022,8:00:00,Pasar Minggu
1/3/2022,9:00:00,Tanjung Barat
1/3/2022,10:00:00,Tanjung Barat
1/3/2022,11:00:00,Tanjung Barat
1/3/2022,12:00:00,Tanjung Barat
1/3/2022,13:00:00,Tanjung Barat
1/3/2022,14:00:00,Tanjung Barat
1/3/2022,15:00:00,Tanjung Barat
1/3/2022,16:00:00,Tanjung Barat
1/3/2022,17:00:00,Pasar Minggu
1/3/2022,18:00:00,Utan Kayu Selatan
1/3/2022,19:00:00,Utan Kayu Selatan
1/3/2022,20:00:00,Utan Kayu Selatan
1/3/2022,21:00:00,Utan Kayu Selatan
1/3/2022,22:00:00,Utan Kayu Selatan
1/3/2022,23:00:00,Utan Kayu Selatan
2/3/2022,0:00:00,Utan Kayu Selatan
2/3/2022,1:00:00,Utan Kayu Selatan
2/3/2022,2:00:00,Utan Kayu Selatan
2/3/2022,3:00:00,Utan Kayu Selatan
2/3/2022,4:00:00,Utan Kayu Selatan
2/3/2022,5:00:00,Utan Kayu Selatan
2/3/2022,6:00:00,Utan Kayu Selatan
2/3/2022,7:00:00,Utan Kayu Selatan
2/3/2022,8:00:00,Pasar Minggu
2/3/2022,9:00:00,Tanjung Barat
2/3/2022,10:00:00,Tanjung Barat
2/3/2022,11:00:00,Tanjung Barat
2/3/2022,12:00:00,Tanjung Barat
2/3/2022,13:00:00,Tanjung Barat
2/3/2022,14:00:00,Tanjung Barat
2/3/2022,15:00:00,Tanjung Barat
2/3/2022,16:00:00,Tanjung Barat
2/3/2022,17:00:00,Pasar Minggu
2/3/2022,18:00:00,Utan Kayu Selatan
2/3/2022,19:00:00,Utan Kayu Selatan
2/3/2022,20:00:00,Utan Kayu Selatan
2/3/2022,21:00:00,Utan Kayu Selatan
2/3/2022,22:00:00,Utan Kayu Selatan
2/3/2022,23:00:00,Utan Kayu Selatan
3/3/2022,0:00:00,Utan Kayu Selatan
3/3/2022,1:00:00,Utan Kayu Selatan
3/3/2022,2:00:00,Utan Kayu Selatan
3/3/2022,3:00:00,Utan Kayu Selatan
3/3/2022,4:00:00,Utan Kayu Selatan
3/3/2022,5:00:00,Utan Kayu Selatan
3/3/2022,6:00:00,Utan Kayu Selatan
3/3/2022,7:00:00,Utan Kayu Selatan
3/3/2022,8:00:00,Pasar Minggu
3/3/2022,9:00:00,Tanjung Barat
3/3/2022,10:00:00,Tanjung Barat
3/3/2022,11:00:00,Tanjung Barat
3/3/2022,12:00:00,Tanjung Barat
3/3/2022,13:00:00,Tanjung Barat
3/3/2022,14:00:00,Tanjung Barat
3/3/2022,15:00:00,Tanjung Barat
3/3/2022,16:00:00,Tanjung Barat
3/3/2022,17:00:00,Pasar Minggu
3/3/2022,18:00:00,Utan Kayu Selatan
3/3/2022,19:00:00,Utan Kayu Selatan
3/3/2022,20:00:00,Utan Kayu Selatan
3/3/2022,21:00:00,Utan Kayu Selatan
3/3/2022,22:00:00,Utan Kayu Selatan
3/3/2022,23:00:00,Utan Kayu Selatan
4/3/2022,0:00:00,Utan Kayu Selatan
4/3/2022,1:00:00,Utan Kayu Selatan
4/3/2022,2:00:00,Utan Kayu Selatan
4/3/2022,3:00:00,Utan Kayu Selatan
4/3/2022,4:00:00,Utan Kayu Selatan
4/3/2022,5:00:00,Utan Kayu Selatan
4/3/2022,6:00:00,Utan Kayu Selatan
4/3/2022,7:00:00,Utan Kayu Selatan
4/3/2022,8:00:00,Pasar Minggu
4/3/2022,9:00:00,Tanjung Barat
4/3/2022,10:00:00,Tanjung Barat
4/3/2022,11:00:00,Tanjung Barat
4/3/2022,12:00:00,Tanjung Barat
4/3/2022,13:00:00,Tanjung Barat
4/3/2022,14:00:00,Tanjung Barat
4/3/2022,15:00:00,Tanjung Barat
4/3/2022,16:00:00,Tanjung Barat
4/3/2022,17:00:00,Pasar Minggu
4/3/2022,18:00:00,Utan Kayu Selatan
4/3/2022,19:00:00,Utan Kayu Selatan
4/3/2022,20:00:00,Utan Kayu Selatan
4/3/2022,21:00:00,Utan Kayu Selatan
4/3/2022,22:00:00,Utan Kayu Selatan
4/3/2022,23:00:00,Utan Kayu Selatan
5/3/2022,0:00:00,Utan Kayu Selatan
5/3/2022,1:00:00,Utan Kayu Selatan
5/3/2022,2:00:00,Utan Kayu Selatan
5/3/2022,3:00:00,Utan Kayu Selatan
5/3/2022,4:00:00,Utan Kayu Selatan
5/3/2022,5:00:00,Utan Kayu Selatan
5/3/2022,6:00:00,Utan Kayu Selatan
