Provinsi,Panen,Produktivitas,Produksi,Tahun,Zona
ACEH,329515.78,56.49,1861567.10,2018,WIB
ACEH,310012.46,55.30,1714437.60,2019,WIB
ACEH,317869.41,55.28,1757313.07,2020,WIB
ACEH,297058.38,55.03,1634639.60,2021,WIB
SUMATERA UTARA,408176.45,51.65,2108284.72,2018,WIB
SUMATERA UTARA,413141.24,50.32,2078901.59,2019,WIB
SUMATERA UTARA,388591.22,52.51,2040500.19,2020,WIB
SUMATERA UTARA,385405.00,52.00,2004142.51,2021,WIB
SUMATERA BARAT,313050.82,47.37,1483076.48,2018,WIB
SUMATERA BARAT,311671.23,47.58,1482996.01,2019,WIB
SUMATERA BARAT,295664.47,46.92,1387269.29,2020,WIB
SUMATERA BARAT,272391.95,48.36,1317209.38,2021,WIB
RIAU,71448.08,37.28,266375.53,2018,WIB
RIAU,63142.04,36.56,230873.97,2019,WIB
RIAU,64733.13,37.64,243685.04,2020,WIB
RIAU,53062.35,40.98,217458.87,2021,WIB
JAMBI,86202.68,44.44,383045.74,2018,WIB
JAMBI,69536.06,44.57,309932.68,2019,WIB
JAMBI,84772.93,45.58,386413.49,2020,WIB
JAMBI,64412.26,46.29,298149.25,2021,WIB
SUMATERA SELATAN,581574.61,51.48,2994191.84,2018,WIB
SUMATERA SELATAN,539316.52,48.27,2603396.24,2019,WIB
SUMATERA SELATAN,551320.76,49.75,2743059.68,2020,WIB
SUMATERA SELATAN,496241.65,51.44,2552443.19,2021,WIB
BENGKULU,65891.16,43.83,288810.52,2018,WIB
BENGKULU,64406.86,46.03,296472.07,2019,WIB
BENGKULU,64137.28,45.66,292834.04,2020,WIB
BENGKULU,55704.69,48.67,271117.19,2021,WIB
LAMPUNG,511940.93,48.61,2488641.91,2018,WIB
LAMPUNG,464103.42,46.63,2164089.33,2019,WIB
LAMPUNG,545149.05,48.62,2650289.64,2020,WIB
LAMPUNG,489573.23,50.77,2485452.78,2021,WIB
KEP. BANGKA BELITUNG,17233.59,26.53,45724.69,2018,WIB
KEP. BANGKA BELITUNG,17087.81,28.56,48805.68,2019,WIB
KEP. BANGKA BELITUNG,17840.55,32.13,57324.32,2020,WIB
KEP. BANGKA BELITUNG,18278.27,38.57,70496.25,2021,WIB
KEP. RIAU,375.87,29.19,1097.00,2018,WIB
KEP. RIAU,356.27,32.30,1150.80,2019,WIB
KEP. RIAU,298.52,28.56,852.54,2020,WIB
KEP. RIAU,270.16,31.65,855.01,2021,WIB
DKI JAKARTA,673.37,72.76,4899.14,2018,WIB
DKI JAKARTA,622.59,53.96,3359.31,2019,WIB
DKI JAKARTA,914.51,49.69,4543.93,2020,WIB
DKI JAKARTA,559.97,58.03,3249.47,2021,WIB
JAWA BARAT,1707253.81,56.51,9647358.75,2018,WIB
JAWA BARAT,1578835.70,57.54,9084957.22,2019,WIB
JAWA BARAT,1586888.63,56.82,9016772.58,2020,WIB
JAWA BARAT,1604109.31,56.81,9113573.08,2021,WIB
JAWA TENGAH,1821983.17,57.63,10499588.23,2018,WIB
JAWA TENGAH,1678479.21,57.53,9655653.98,2019,WIB
JAWA TENGAH,1666931.49,56.93,9489164.62,2020,WIB
JAWA TENGAH,1696712.36,56.69,9618656.81,2021,WIB
DI YOGYAKARTA,93956.45,54.81,514935.49,2018,WIB
DI YOGYAKARTA,111477.36,47.86,533477.40,2019,WIB
DI YOGYAKARTA,110548.12,47.35,523395.95,2020,WIB
DI YOGYAKARTA,107506.16,51.77,556531.03,2021,WIB
JAWA TIMUR,1751191.67,58.26,10203213.17,2018,WIB
JAWA TIMUR,1702426.36,56.28,9580933.88,2019,WIB
JAWA TIMUR,1754380.30,56.68,9944538.26,2020,WIB
JAWA TIMUR,1747481.20,56.02,9789587.67,2021,WIB
BANTEN,344836.06,48.94,1687783.30,2018,WIB
BANTEN,303731.80,48.41,1470503.35,2019,WIB
BANTEN,325333.24,50.88,1655170.09,2020,WIB
BANTEN,318248.46,50.38,1603247.00,2021,WIB
BALI,110978.37,60.11,667069.06,2018,WITA
BALI,95319.34,60.78,579320.53,2019,WITA
BALI,90980.69,58.49,532168.45,2020,WITA
BALI,105201.31,58.83,618910.81,2021,WITA
NUSA TENGGARA BARAT,289242.59,50.49,1460338.81,2018,WITA
NUSA TENGGARA BARAT,281666.04,49.78,1402182.39,2019,WITA
NUSA TENGGARA BARAT,273460.82,48.17,1317189.81,2020,WITA
NUSA TENGGARA BARAT,276211.88,51.39,1419559.84,2021,WITA
