Negara,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Indonesia,"1,34","1,35","1,35","1,34","1,31","1,27","1,22","1,18","1,13","1,1","1,07","1,03"
China,"0,48","0,55","0,68","0,67","0,63","0,58","0,57","0,61","0,47","0,35","0,24","0,09"
Japan,"0,02","-0,19","-0,16","-0,14","-0,13","-0,11","-0,05","-0,08","-0,13","-0,14","-0,29","-0,46"
Malaysia,"1,69","1,56","1,45","1,37","1,34","1,34","1,36","1,36","1,35","1,33","1,29","1,26"
"Hong Kong SAR, China","0,73","0,67","1,1","0,4","0,7","0,85","0,62","0,77","0,8","0,74","-0,36","-0,91"
"Egypt, Arab Rep.","1,98","2,11","2,21","2,27","2,26","2,21","2,15","2,09","2,03","1,98","1,92","1,86"
South Africa,"1,46","1,52","1,58","1,6","1,58","1,53","1,47","1,42","1,36","1,32","1,27","1,23"
Ghana,"2,49","2,42","2,37","2,32","2,29","2,27","2,25","2,22","2,19","2,16","2,13","2,1"
Tunisia,"1,04",1,"0,97","0,97",1,"1,05","1,1","1,14","1,15","1,11","1,05","0,99"
Morocco,"1,29","1,35","1,39","1,42","1,4","1,37","1,33","1,29","1,25","1,22","1,2","1,17"
Costa Rica,"1,24","1,21","1,18","1,15","1,12","1,09","1,06","1,03","0,99","0,96","0,92","0,88"
Canada,"1,11","0,98","1,09","1,06","1,01","0,75","1,13","1,2","1,41","1,44","1,15","0,55"
Mexico,"1,44","1,39","1,36","1,32","1,28","1,24","1,2","1,16","1,13","1,09","1,06","1,03"
Haiti,"1,53","1,51","1,48","1,45","1,42","1,38","1,34","1,31","1,27","1,25","1,23","1,21"
Honduras,"2,02","1,94","1,87","1,81","1,77","1,74","1,72","1,69","1,67","1,64","1,61","1,59"
Ecuador,"1,59","1,54","1,5","1,5","1,54","1,62","1,71","1,77","1,77","1,68","1,54","1,38"
Brazil,"0,94","0,92","0,89","0,87","0,86","0,84","0,82","0,81","0,78","0,75","0,71","0,67"
Colombia,"1,05","0,97","0,9","0,91","1,01","1,17","1,37","1,51","1,52","1,36","1,07","0,75"
Uruguay,"0,29","0,29","0,3","0,31","0,32","0,34","0,35","0,36","0,37","0,36","0,35","0,33"
Peru,"0,81","0,81","0,83","0,9","1,06","1,26","1,48","1,66","1,72","1,62","1,41","1,17"
Australia,"1,56","1,39","1,75","1,72","1,49","1,44","1,56","1,68","1,54","1,52","1,28","0,18"
New Zealand,"1,11","0,76","0,55","0,77","1,66","2,04","2,25","2,09","1,79","1,59","2,2","0,63"
Papua New Guinea,"2,29","2,19","2,1","2,04","2,01","2,01",2,"1,99","1,97","1,95","1,93","1,9"
Fiji,"0,72","0,42","0,19","0,06","0,1","0,25","0,43","0,58","0,68","0,73","0,73","0,72"
Vanuatu,"2,56","2,69","2,78","2,82","2,79","2,71","2,62","2,54","2,48","2,43","2,39","2,35"
Russian Federation,"0,04","0,08","0,17","0,21","0,22","0,19","0,17","0,11","-0,01","-0,05","-0,23","-0,44"
Poland,"-0,29","0,05",0,"-0,06","-0,07","-0,07","-0,04","0,01",0,"-0,02","-0,18","-0,31"
Hungary,"-0,23","-0,28","-0,52","-0,28","-0,27","-0,24","-0,3","-0,27","-0,13","-0,05","-0,22","-0,41"
United Kingdom,"0,78","0,78","0,7","0,67","0,74","0,79","0,76","0,68","0,61","0,56","0,37","0,37"
Switzerland,"1,04","1,11","1,06","1,15","1,22","1,14","1,09","0,93","0,74","0,71","0,71","0,71"
